99964 177935
318 60385 3
319 19046 89
319 35424 54
319 44455 68
319 46726 62
320 16394 75
320 18116 87
320 19813 27
320 33485 8
320 36598 63
320 53799 15
320 56445 12
321 10690 69
321 17120 82
321 18020 96
321 33527 97
321 36034 91
321 51692 55
321 51739 57
321 61087 63
321 67419 85
322 21632 5
322 32734 100
322 48578 79
322 55063 16
322 77363 19
323 32890 58
323 36347 91
323 39135 57
323 55493 4
323 63826 42
324 5280 80
324 15836 88
324 24741 83
324 24901 12
324 29354 68
324 30845 26
324 35136 27
324 36283 38
324 42127 94
324 43149 64
324 58132 15
325 1841 30
325 16956 14
325 37893 19
325 41755 85
325 47515 3
325 49580 4
326 14202 2
326 21898 82
326 44026 35
326 51378 86
326 58158 1
326 58418 6
326 68622 91
326 75223 94
327 31268 11
327 37594 89
327 61662 76
328 30485 88
328 50303 47
328 64044 32
328 81032 4
329 16351 87
329 41066 77
329 64644 13
329 71373 86
329 73024 14
332 11165 76
332 18619 16
332 25873 76
332 30385 67
332 70523 66
334 5027 71
334 29355 51
334 31106 61
336 15555 68
336 17836 34
336 24158 49
336 25575 60
336 39548 92
336 42445 19
336 45977 91
336 59619 18
337 6915 96
337 7248 53
337 16900 100
337 26290 72
337 42874 82
337 51332 66
337 65723 8
337 67882 83
339 549 22
339 58544 11
339 58779 1
339 60285 10
339 63158 81
341 1963 25
341 21005 20
341 25073 21
341 33246 19
341 34668 83
341 45426 43
341 50540 3
342 5351 36
342 10683 28
342 22099 11
342 23200 83
342 47208 81
342 55764 1
342 63372 23
342 64276 58
343 9230 70
343 43370 89
343 61737 99
347 7232 45
347 8243 94
347 20712 79
347 33294 5
347 41101 36
347 50048 35
347 73878 51
347 75803 38
347 79766 81
348 6634 17
348 15295 18
348 45159 89
348 61383 83
348 78178 92
351 2073 32
351 40392 79
353 52339 10
354 3010 77
354 27940 78
355 17899 89
355 47959 58
355 52676 10
355 54680 79
355 56878 30
357 8856 74
357 19529 52
357 24232 61
357 45472 45
357 68669 44
358 37126 38
359 2328 28
359 5001 56
359 6016 98
359 6595 68
359 7477 36
359 15033 68
359 20684 3
359 42165 79
359 51451 30
359 55767 38
359 61433 76
360 12087 57
360 12954 2
360 17846 87
360 21237 23
360 42746 62
360 53578 28
360 63946 12
361 13844 71
361 25030 2
361 54935 20
362 6905 28
362 14660 65
362 47469 21
362 60048 82
363 19387 88
363 28987 3
363 37766 36
363 42359 88
365 4467 18
365 12234 94
365 17924 60
365 18097 2
365 21300 46
365 28375 3
365 31338 92
365 35888 15
367 16993 95
367 25666 91
367 51121 4
367 58361 5
367 62640 71
367 67350 95
368 5437 54
368 17879 73
368 33306 97
368 39122 62
368 55018 39
369 1280 4
369 30410 86
369 42454 97
369 61680 22
370 24802 16
370 36446 52
370 71665 79
370 75443 2
371 9412 37
371 20671 42
371 32715 50
371 59601 20
372 2672 48
372 28345 17
372 31640 14
372 45219 44
374 12709 5
374 22601 5
374 32887 9
374 38184 71
374 47510 73
374 62236 81
376 4405 53
376 27917 56
376 34183 18
376 68501 57
377 13632 85
377 13984 84
377 24456 71
377 29951 56
377 38077 74
377 43864 93
377 50345 77
377 63133 56
377 66848 87
378 24329 71
378 26745 20
378 27858 9
378 41290 74
378 44723 74
378 54216 15
379 17037 62
379 18374 31
379 25009 50
379 25428 100
379 28987 84
379 41931 44
379 47543 57
380 22946 64
380 42645 61
380 49044 71
381 26675 81
381 55194 20
382 51789 68
383 30079 15
383 30416 68
383 46728 93
383 49102 72
387 6904 37
387 21519 90
387 23832 27
387 30810 78
387 36458 26
387 42499 33
389 10834 82
389 35265 66
389 37134 76
389 37904 21
389 40900 29
389 57228 62
393 31044 34
393 31359 86
393 42056 74
393 51785 29
393 53816 95
393 54609 35
393 74940 62
393 75154 65
394 108 100
394 21529 32
394 29182 54
394 29364 44
394 34088 100
394 64458 4
395 6273 55
395 21662 75
395 27650 90
395 35683 6
395 47638 13
395 47646 69
395 48408 64
395 51147 71
396 15710 6
396 26018 35
396 30463 35
396 36453 89
396 38522 3
396 38952 32
396 53411 37
396 54795 71
398 37493 85
398 42792 37
398 58232 37
398 72975 26
398 79245 52
399 7932 11
399 19536 44
399 30501 25
402 3153 86
402 7314 11
402 10643 58
402 18185 13
402 74583 9
403 2732 75
403 12874 50
403 27651 25
403 28543 65
403 47398 52
403 58174 95
404 3435 3
404 32894 32
404 57941 72
404 65641 61
407 20215 56
407 34902 66
408 36449 1
408 38831 21
408 64304 1
409 5984 44
409 18070 45
409 22050 28
409 32344 66
409 49921 26
412 18700 95
412 60631 18
412 62885 67
413 35761 30
413 57040 39
414 4228 23
414 22560 90
415 30040 21
415 32289 17
415 34597 43
415 42091 62
415 42360 50
416 6217 34
416 6901 7
416 19252 69
416 22523 54
416 42378 90
416 53713 1
417 120 9
417 17984 37
417 27422 39
417 36374 26
417 53444 40
418 4123 98
418 5968 30
418 35406 58
418 38401 66
418 40005 18
418 42889 7
418 45847 55
420 359 37
420 3847 18
420 52379 51
422 6425 58
422 8163 19
422 32572 92
422 45569 57
423 5344 41
423 10362 19
423 10439 98
423 34110 55
423 40005 72
423 59997 73
425 21698 36
425 23284 7
425 24012 53
425 28575 41
425 46114 26
425 49001 43
425 65336 65
426 3214 79
426 6017 15
426 6863 54
426 21627 72
426 21796 11
426 22627 9
426 43662 42
426 55360 36
427 11891 42
427 13827 73
427 14633 66
427 19630 36
427 26479 91
427 28221 59
427 31986 3
427 38576 100
427 62735 27
428 15170 98
428 37538 60
428 38272 58
428 39918 16
428 48306 30
428 52873 92
428 65274 24
428 66830 87
428 70592 37
428 73502 93
428 85134 88
430 2148 97
430 9358 53
430 39935 69
430 65678 93
430 73719 32
432 2622 4
432 7780 81
432 16076 59
432 16928 35
432 24827 67
432 30127 25
432 46477 71
433 35467 75
433 58678 27
434 25974 55
434 43804 3
434 60158 5
434 64463 10
434 65356 33
436 6729 90
436 17275 37
436 35002 65
436 41933 84
436 44877 77
436 50588 30
438 11445 88
438 64184 22
438 77366 35
438 81972 58
439 2900 87
439 17057 64
439 20265 57
439 51853 29
440 10018 73
440 19801 49
440 19920 26
440 20598 25
440 26296 61
440 30154 6
440 31226 69
440 65193 52
440 66432 57
441 5709 11
441 58960 88
442 905 63
442 9480 18
442 27863 45
442 33260 6
443 3062 27
443 16700 68
443 21549 2
443 24443 59
443 25739 39
443 40525 97
443 42812 84
443 63333 78
443 67818 58
447 5546 53
447 5756 44
447 17613 5
447 56079 20
448 420 36
448 28080 92
448 45568 17
448 51033 76
449 18181 62
449 19942 41
449 38597 48
449 47569 89
449 80089 66
450 533 34
450 6133 83
450 21209 31
450 25480 65
450 33184 26
450 50871 50
451 22061 12
451 26852 19
451 28008 65
451 72854 86
451 74029 14
451 79121 15
451 79163 1
452 32693 27
452 45589 71
452 56305 80
452 65877 14
453 12232 65
453 38934 42
453 50320 66
453 57483 62
453 66858 90
454 3749 77
454 8146 100
454 41873 67
454 47999 49
454 50728 35
454 53408 14
458 1105 77
458 15973 98
458 57696 94
458 72684 55
459 28559 41
459 31127 56
459 37669 44
459 42319 91
459 46374 78
459 49475 46
459 53340 69
461 1963 28
461 6056 36
461 30154 12
461 52053 18
462 4339 37
462 8206 36
462 38006 84
462 40287 38
463 17935 41
463 45741 85
463 49946 82
463 52070 87
463 67522 34
463 72925 42
465 439 9
465 15147 37
465 18836 11
465 20192 48
465 31537 29
465 38368 55
466 28959 37
466 34177 26
466 35560 85
466 46873 23
466 48327 6
466 48485 39
466 53058 16
467 438 92
467 11414 95
467 18010 69
467 57646 75
470 24114 68
470 32556 66
472 1163 61
472 3568 99
472 12727 28
472 14102 55
472 30156 50
472 31162 41
472 37886 38
472 51084 56
473 2934 30
473 8535 68
473 24224 58
473 49655 75
475 14114 51
476 1497 26
476 21953 45
476 40146 28
476 45798 65
476 46723 49
479 52401 63
479 61737 54
480 34395 13
481 22963 6
481 50000 66
481 61769 4
481 64290 72
481 66699 95
483 14137 71
483 33565 13
483 37074 88
483 41956 27
483 43503 42
483 53204 43
484 1 47
484 320 28
484 18684 94
484 22913 50
484 25969 81
484 31384 19
484 55411 34
485 7605 12
485 27878 44
485 62782 96
487 38058 77
487 47112 55
487 77690 82
489 49161 29
489 53098 61
489 53366 93
489 61217 83
490 105 67
490 14823 33
490 17311 8
490 28511 77
490 50154 15
490 56226 9
491 10501 77
491 13774 99
491 17896 63
491 22708 10
491 37557 75
491 40405 72
491 44281 94
493 3353 78
493 23233 87
493 31917 31
493 31959 48
493 35709 57
493 38476 15
493 45703 90
493 47727 7
494 39438 47
494 44410 37
495 70297 65
495 71955 35
496 57310 65
496 58606 84
496 68245 67
496 78883 67
496 81192 12
498 15973 68
498 39875 99
498 40374 32
498 46718 91
498 50342 87
500 6047 23
501 16640 82
501 19561 68
501 34716 93
501 54997 87
501 57832 82
501 60336 95
502 9107 30
502 10597 36
502 28281 62
502 30992 18
502 34567 32
502 44089 1
503 1041 80
503 31068 15
503 40772 67
503 51654 73
503 67170 47
503 79557 99
504 10157 23
504 15793 74
504 16758 63
504 22530 49
504 33984 61
504 79545 8
507 2232 19
507 28684 100
507 45208 69
507 52953 21
507 60750 76
507 73782 61
508 17618 38
508 48982 16
509 16722 95
509 47077 48
509 50586 82
510 44581 41
510 46455 23
510 59989 53
510 66096 42
510 82095 77
511 16368 41
511 20476 30
511 22927 28
511 30006 18
511 41646 45
511 43204 95
511 49211 6
512 10784 16
512 23825 73
512 36918 39
512 52094 87
512 58867 19
512 67402 88
512 73921 63
512 82804 4
513 19176 82
513 34590 43
513 39495 90
513 57195 61
513 66243 60
514 847 76
514 32946 52
514 47174 82
514 59399 86
514 68850 50
516 11732 66
516 32003 51
516 49116 31
516 51157 96
516 59066 96
518 6968 20
518 49527 46
518 68261 60
520 19855 25
520 38910 26
520 47838 88
520 53472 89
520 61728 37
522 8907 60
522 51580 12
522 52481 85
522 64400 63
522 66222 23
522 73413 87
523 22252 17
523 22561 27
523 57745 17
524 50214 39
524 59455 24
524 70163 81
525 6893 46
525 19066 9
525 26989 25
525 27805 41
525 31018 44
525 44708 100
525 47640 72
525 47882 76
525 67502 61
526 3182 98
526 19871 48
526 21458 51
526 37331 6
526 54807 76
527 5432 56
527 21507 6
527 23510 36
527 46052 92
527 46732 34
528 26561 81
528 40901 10
528 42193 36
528 58162 96
529 980 33
529 3141 93
529 21792 57
529 29182 11
529 43077 9
529 45247 12
529 46999 35
529 53167 69
529 61737 89
529 62144 15
530 7829 19
530 27651 90
530 50624 56
531 11220 6
531 12015 83
531 16900 67
531 35311 87
531 45184 7
531 45395 57
531 54214 34
533 21431 65
533 25840 79
533 39157 51
533 46503 88
533 51041 29
533 54284 76
534 422 74
534 14616 12
534 20556 26
534 49875 21
536 277 75
536 19246 48
536 19379 36
536 28303 21
536 50301 33
536 58783 22
536 61221 85
537 1359 24
537 6771 31
537 12722 60
537 14328 30
537 18114 14
537 32350 58
537 35311 61
538 31472 53
538 35725 60
538 56829 29
540 549 45
540 6764 54
540 27094 27
540 36531 31
540 46078 13
540 59143 67
540 76686 41
540 77435 3
541 14104 55
541 24904 20
541 41974 80
541 54471 22
541 60688 50
541 63362 79
546 5378 75
546 14165 95
546 16183 53
546 16987 70
546 25587 100
546 31363 5
546 39050 85
546 41773 7
546 43758 73
546 43929 60
546 46253 67
548 9875 57
548 18794 92
548 25787 97
548 31958 51
548 33525 55
548 43801 56
548 43987 5
548 45141 40
548 64819 58
549 11105 71
549 20005 79
549 73425 24
551 27112 94
551 41240 9
551 46888 67
551 49049 60
552 16693 87
552 32954 91
552 47761 40
552 55066 61
552 61552 46
552 75666 84
553 1034 88
553 9576 82
553 14398 20
553 20544 76
554 2109 64
554 7665 1
554 41926 44
554 46931 61
554 60268 23
554 62404 77
554 65383 6
554 69119 8
555 6316 35
555 9086 47
555 47581 5
555 55720 12
555 82961 95
556 11296 71
556 56097 64
556 64376 93
556 81693 54
558 7336 50
558 10774 87
558 15057 39
558 31026 45
558 42231 34
558 51670 61
560 461 13
560 7969 91
560 16095 40
560 35348 1
562 22375 100
562 32042 3
562 38007 77
562 50738 63
562 62608 8
564 28333 69
564 29477 66
564 42610 27
564 54498 16
564 61087 13
564 61336 27
565 8682 11
565 11096 82
565 24413 21
565 32148 72
566 4522 28
566 19958 48
567 3041 100
567 50750 73
567 60187 65
567 65622 34
567 75608 47
569 26458 51
569 29297 4
569 35766 29
569 54372 34
569 71330 30
570 2859 48
570 11397 47
570 14234 92
570 17663 62
570 26034 7
570 37450 44
570 38096 1
570 39177 70
570 40179 95
570 42128 3
570 42397 49
570 62209 36
571 2608 93
571 3749 19
571 4859 90
571 20267 69
571 52480 63
572 16901 71
572 30221 34
572 43213 83
572 55881 17
572 64722 49
572 77111 68
573 7541 74
573 15364 9
573 29226 12
573 35578 64
573 38663 80
573 65325 40
577 16296 18
577 72297 20
577 77140 57
578 273 52
578 1371 9
578 4593 54
578 10376 51
578 17992 1
578 34506 69
578 62014 56
579 12092 62
579 30587 31
579 35997 13
579 41866 13
579 44918 24
579 48871 41
582 9724 22
582 15493 46
582 32683 85
582 33102 24
582 35082 32
582 36514 75
582 43717 46
